RS-Bestellnummer,Menge,Hersteller,Artikel,Ref,Hinweis
220-4260,5,Phoenix Contact,MPT 0.5/2-2.54 1725656,J1 J2 J6,VE oft 5; Bedarf 3
220-4327,5,Phoenix Contact,MPT 0.5/8-2.54 1725711,J3 J4,VE 5; Bedarf 2
312-022,1,Hengstler,0 635 128 12V PCB Typ 635.1,J5,NICHT 312-016 / 0.635.132
